answer_llm,answer_orig,document,question,course
"Yes, sessions are recorded if you miss one. Everything is recorded, and you will still be able to ask your questions for office hours in advance. Additionally, you can ask questions in Slack.","Everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance and we will cover them during the live stream. Also, you can always ask questions in Slack.",5170565b,Are sessions recorded if I miss one?,machine-learning-zoomcamp
"Yes, you can ask questions in advance if you can’t attend a live stream. You will be able to submit your questions for office hours in advance, and they will be covered during the live stream. Additionally, you can always ask questions in Slack.","Everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance and we will cover them during the live stream. Also, you can always ask questions in Slack.",5170565b,Can I ask questions in advance if I can't attend a live stream?,machine-learning-zoomcamp
"If you miss a session, everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance, and we will cover them during the live stream. Additionally, you can always ask questions in Slack.","Everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance and we will cover them during the live stream. Also, you can always ask questions in Slack.",5170565b,How will my questions be addressed if I miss a session?,machine-learning-zoomcamp
"Yes, there is a way to catch up on a missed session. Everything is recorded, so you won’t miss anything. Additionally, you can ask your questions for office hours in advance, and they will be covered during the live stream. You also have the option to ask questions in Slack.","Everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance and we will cover them during the live stream. Also, you can always ask questions in Slack.",5170565b,Is there a way to catch up on a missed session?,machine-learning-zoomcamp
"Yes, you can still interact with instructors after missing a session. Since everything is recorded, you won’t miss any content. You can ask your questions in advance for the office hours, and they will be covered during the live stream. Additionally, you can always ask questions in Slack.","Everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance and we will cover them during the live stream. Also, you can always ask questions in Slack.",5170565b,Can I still interact with instructors after missing a session?,machine-learning-zoomcamp
"The course includes the bare minimum of theoretical content. The focus is primarily on practice, and theoretical concepts will be covered only at an intuitive level. For example, while you will learn how to use logistic regression and interpret its results, the course will not delve into deriving the gradient update rule for logistic regression.","The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,How much theoretical content is there in the course?,machine-learning-zoomcamp
"No, the course will not cover theoretical derivations like the gradient update rule for logistic regression. The course focuses more on practical aspects and covers theory only at an intuitive level. For example, while it will cover how to use logistic regression and interpret the results, it won't delve into deriving the gradient update rule.","The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,Will the course cover theoretical derivations like the gradient update rule for logistic regression?,machine-learning-zoomcamp
"The focus of the course is more on practice rather than theory. The course covers the bare minimum of theory at an intuitive level. For instance, it will explain how to use logistic regression and interpret its results but won't go into deriving the gradient update rule for logistic regression.","The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,Is the focus of the course more on practice or theory?,machine-learning-zoomcamp
"For more information on the theoretical topics not covered in this course, you can explore other great courses that delve deeper into theory. The course itself focuses primarily on practice and covers theory only on an intuitive level. More theoretical details, such as deriving the gradient update rule for logistic regression, are not included in this course. You can refer to the provided course link for more context: [https://mlbookcamp.com/article/python](https://mlbookcamp.com/article/python).","The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,Where can I find more about the theoretical topics not covered in this course?,machine-learning-zoomcamp
"Yes, the course will help you understand how to use logistic regression and interpret its results. The focus is more on practical application rather than in-depth theory. While the course won’t cover the derivation of the gradient update rule for logistic regression, it will teach you how to effectively use logistic regression and make sense of the results.","The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,Will the course help me understand how to use logistic regression and interpret its results?,machine-learning-zoomcamp
"No, prior knowledge in math is not necessary for this course. While the course will cover some linear algebra, it primarily focuses on code rather than formulas. If you feel the need to review or learn some linear algebra, there are recommended videos such as ""ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev"" and the ""Essence of Linear Algebra"" playlist from 3Blue1Brown. Additionally, you can always seek help from the community if you have questions.","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,Is prior knowledge in math necessary for this course?,machine-learning-zoomcamp
"The mathematical content that will be covered in the course includes some linear algebra. However, the course emphasizes practical application rather than theoretical depth, meaning there will be very few formulas and the focus will primarily be on coding. Although there will be minimal mathematical theory, the necessary linear algebra concepts will be addressed to help students understand and apply machine learning techniques.","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,What type of mathematical content will be covered?,machine-learning-zoomcamp
"Yes, there are resources available to help with linear algebra. The course provides some coverage of linear algebra and offers several interesting videos you can watch:

1. **ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev**
2. **Vectors | Chapter 1, Essence of Linear Algebra by 3Blue1Brown**

Additionally, you're encouraged to ask the community for help if you have any questions.","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,Are there resources available to help with linear algebra?,machine-learning-zoomcamp
"Yes, you can seek help from the community for math-related questions. As stated in the context, ""Never hesitate to ask the community for help if you have any question."" ","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,Can I seek help from the community for math-related questions?,machine-learning-zoomcamp
"Yes, there are recommended videos for learning linear algebra. Here are two recommendations:
1. **ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev**
2. **Essence of Linear Algebra, a playlist by 3Blue1Brown** which begins with ""Vectors | Chapter 1"".

Feel free to watch these videos for a better understanding of linear algebra, and don't hesitate to ask the community if you have any questions.","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,Are there any recommended videos for learning linear algebra?,machine-learning-zoomcamp
"If you haven't received a confirmation email after filling out the form, it is possible that the process might take some time as it is automated. Be sure to check your promotions tab in Gmail as well as your spam folder. If you have unsubscribed from the course newsletter, you won't receive course-related updates via email. To ensure you don't miss any important information, join the #course-ml-zoomcamp channel in Slack and the course's Telegram channel for announcements.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,What should I do if I haven't received a confirmation email after filling out the form?,machine-learning-zoomcamp
"Yes, it is possible your confirmation email went to your spam folder. Check your promotions tab in Gmail as well as your spam folder. If you unsubscribed from our newsletter, you won't get course-related updates. To ensure you don’t miss any important information, join the #course-ml-zoomcamp channel in Slack and our Telegram channel with announcements.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,Is it possible my confirmation email went to my spam folder?,machine-learning-zoomcamp
"Yes, unsubscribing from the newsletter will affect your ability to receive course updates. However, you can still stay informed by joining the #course-ml-zoomcamp channel in Slack and checking the announcements on the course's Telegram channel. These channels will provide you with all the necessary updates related to the course.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,Can unsubscribing from the newsletter affect receiving course updates?,machine-learning-zoomcamp
"If you haven't received the confirmation email, you can still get course updates by joining the #course-ml-zoomcamp channel on Slack and subscribing to our Telegram channel with announcements. These channels are sufficient to keep you informed about the course.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,Where can I get course updates if I don’t receive the confirmation email?,machine-learning-zoomcamp
"If you're experiencing email issues and want to stay informed about the course, you can join the #course-ml-zoomcamp channel in Slack and our Telegram channel with announcements. These platforms will provide you with the necessary updates to follow the course.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,How can I stay informed about the course if I'm having email issues?,machine-learning-zoomcamp
"The duration of the course is approximately 4 months. However, it may take more time if you choose to engage in extra activities such as an additional project or writing an article.","Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,What is the duration of the course?,machine-learning-zoomcamp
"The course takes approximately 4 months. However, it may take longer if you choose to engage in extra activities such as an additional project or writing an article.","Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,How many months does the course take?,machine-learning-zoomcamp
"Yes, the course can take more than 4 months if you choose to participate in extra activities like an extra project or writing an article.","Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,Can the course take more than 4 months?,machine-learning-zoomcamp
"There is no specific mention of extending the course duration in the provided context. However, it is noted that the course is approximately 4 months long and that students may take longer if they choose to engage in extra activities like an additional project or writing an article. If you need more time, it may be possible to utilize the self-paced mode of the course, as it allows you to go through the materials at your own pace. If you need formal arrangements for an extension, it is best to contact the course administrator for further guidance.","Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,Is it possible to extend the course duration?,machine-learning-zoomcamp
The extra activities that might extend the course time include completing an extra project or writing an article.,"Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,What extra activities might extend the course time?,machine-learning-zoomcamp
You should allocate around ~10 hours per week for this course.,Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,How many hours per week should I allocate for this course?,machine-learning-zoomcamp
Timur Kamaliev analyzed the time needed for different modules.,Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,Who analyzed the time needed for different modules?,machine-learning-zoomcamp
Students of the previous cohort spent around 10 hours per week on the course.,Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,How much time did students of the previous cohort spend weekly?,machine-learning-zoomcamp
The estimated weekly time commitment for the course is around ~10 hours per week.,Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,Can you give an estimated weekly time commitment for the course?,machine-learning-zoomcamp
"You can find the detailed analysis of study time requirements in an article written by Timur Kamaliev, which contains an analysis of the time students from the previous cohort needed to spend on different modules and projects.",Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,Where can I find the detailed analysis of study time requirements?,machine-learning-zoomcamp
"To earn a certificate in this course, you need to:

1. Submit 2 out of the 3 required course projects.
2. Review 3 of your peers' projects for each submission by the deadline.

This means that even if you join the course late, as long as you complete these requirements, you will be eligible for a certificate.","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,How can I earn a certificate in this course?,machine-learning-zoomcamp
"To receive a certificate for the course, you need to fulfill the following requirements:

1. Submit at least 2 out of the 3 projects.
2. Peer-review at least 3 course-mates’ projects for each of your submissions.
3. Ensure all the above are completed by the deadline.

If these conditions are met, you will be awarded a certificate for the course.","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,What are the requirements to receive a certificate?,machine-learning-zoomcamp
"No, you do not need to complete all projects to get a certificate. You need to complete at least two out of the three projects and review 3 peers’ projects by the deadline to receive the certificate.","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,Do I need to complete all projects to get a certificate?,machine-learning-zoomcamp
"In order to qualify for the certificate, you need to submit at least 2 out of 3 course projects and review 3 peers’ projects by the deadline. Specific deadlines for submissions can be found on the 2023 cohort page.","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,What is the deadline to qualify for the certificate?,machine-learning-zoomcamp
"Yes, there is an option for a certificate without a robot image.","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,Is there an option for a certificate without a robot image?,machine-learning-zoomcamp
"Yes, it's possible to receive a certificate even if you don't complete the midterm project. You need to complete at least 2 out of 3 projects and review 3 peers' projects by the deadline to be eligible for a certificate.","Yes, it's possible. See the previous answer.",1d644223,Will I receive a certificate if I don't complete the midterm project?,machine-learning-zoomcamp
"Yes, you can still graduate without submitting the midterm project, as long as you complete and submit at least 2 out of the 3 course projects and review 3 peers' projects by the deadline.","Yes, it's possible. See the previous answer.",1d644223,Can I still graduate without submitting the midterm project?,machine-learning-zoomcamp
"Yes, you are eligible for certification if you missed the midterm project. You can still receive a certificate if you complete at least 2 out of the 3 projects and review 3 peers' projects by the deadline.","Yes, it's possible. See the previous answer.",1d644223,Am I eligible for certification if I missed the midterm project?,machine-learning-zoomcamp
"No, it is not mandatory to complete the midterm project for the certificate. According to the course requirements, you need to submit at least 2 out of the 3 course projects and review 3 peers' projects by the deadline to be eligible for a certificate. Therefore, missing the midterm project does not disqualify you from earning the certificate as long as you meet the other requirements.","Yes, it's possible. See the previous answer.",1d644223,Is it mandatory to complete the midterm project for the certificate?,machine-learning-zoomcamp
"Yes, missing the midterm project can still allow you to be eligible for a certificate. To receive the certificate, you need to complete at least 2 out of the 3 projects (and peer review at least 3 of your course-mates' projects for each submission). Thus, if you miss the midterm project but complete the other two projects and meet the peer reviewing requirement, you will still be eligible for the certificate.","Yes, it's possible. See the previous answer.",1d644223,Does missing the midterm project affect my certification eligibility?,machine-learning-zoomcamp
"To be prepared for this course, it is important to have a basic understanding of Python, particularly for data analysis tasks. Here are the specific Python basics you need to know:

1. How to run a Jupyter notebook.
2. How to import libraries (and understand what libraries are).
3. How to declare variables (and understand what variables are).
4. Some important operations regarding data analysis.

If you need to brush up on these topics, you can follow the learning resources provided, such as the ""Introduction to Python – Machine Learning Bookcamp"" or the free ""Learn Python Basics for Data Analysis"" course on the OpenClassrooms e-learning platform.","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,What Python basics are required for this course?,machine-learning-zoomcamp
"You can learn the necessary Python knowledge for this course by following the English course on the OpenClassrooms e-learning platform, which is free and covers the basics needed for data analysis. The course is titled ""Learn Python Basics for Data Analysis - OpenClassrooms."" It will teach you essential skills such as running a Jupyter notebook, importing libraries, declaring variables, and performing important operations related to data analysis.","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,Where can I learn the necessary Python knowledge for this course?,machine-learning-zoomcamp
"Knowing how to run a Jupyter notebook is important for this course because many of the course resources, such as code snippets, examples, and exercises, are provided in Jupyter notebook format. This format is widely used for data analysis, machine learning, and other tasks due to its ability to combine code execution, text, and visualizations in a single document. Additionally, as mentioned in the CONTEXT, certain tasks, like installing packages or handling specific error messages, may require the execution of commands directly within a Jupyter notebook environment.","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,Why is it important to know how to run a Jupyter notebook for this course?,machine-learning-zoomcamp
"For this course, you should know the following basic operations regarding data analysis:

1. **How to run a Jupyter notebook** - This includes starting and using Jupyter notebooks for coding and analyzing data.
2. **How to import libraries (and what libraries are)** - Understanding how to bring in external libraries that are essential for data analysis tasks, such as pandas, NumPy, etc.
3. **How to declare a variable (and what variables are)** - Knowing how to create and use variables in Python.
4. **Important operations regarding data analysis** - This includes basic data manipulation, statistical analysis, and possibly data visualization techniques.

You can refer to the resources suggested in the context to learn these basics, such as the article on the OpenClassrooms platform titled ""Learn Python Basics for Data Analysis.""","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,What basic operations regarding data analysis should I know for this course?,machine-learning-zoomcamp
"To learn how to declare variables in Python for this course, you can follow the recommendations provided in the context. Specifically, you can start by taking the ""Introduction to Python"" tutorial available on the OpenClassrooms e-learning platform, which is free and covers Python basics essential for data analysis, including how to declare a variable.

Here is the link to the course you should follow: [Learn Python Basics for Data Analysis - OpenClassrooms](https://openclassrooms.com/en/courses/learn-python-basics-for-data-analysis)","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,How can I learn to declare variables in Python for this course?,machine-learning-zoomcamp
"For the Machine Learning part of the course, you only need a working laptop with an internet connection. However, the Deep Learning part requires more resources. For that, you can use cloud services, such as Saturn cloud, which the course utilizes, but other cloud services can also be used.","For the Machine Learning part, all you need is a working laptop with an internet connection. The Deep Learning part is more resource intensive, but for that you can use a cloud (we use Saturn cloud but can be anything else).
(Rileen Sinha; based on response by Alexey on Slack)",a4fad482,"Are there any specific hardware requirements for the course, or is everything mainly based on cloud services?",machine-learning-zoomcamp
"Yes, for the Machine Learning section, all you need is a working laptop with an internet connection.","For the Machine Learning part, all you need is a working laptop with an internet connection. The Deep Learning part is more resource intensive, but for that you can use a cloud (we use Saturn cloud but can be anything else).
(Rileen Sinha; based on response by Alexey on Slack)",a4fad482,Do I just need a laptop and internet for the Machine Learning section?,machine-learning-zoomcamp
"Yes, the Deep Learning part of the course is more resource-intensive than the Machine Learning part. For the Machine Learning part, a working laptop with an internet connection suffices, while the Deep Learning part requires more resources, usually provided through cloud services such as Saturn Cloud.","For the Machine Learning part, all you need is a working laptop with an internet connection. The Deep Learning part is more resource intensive, but for that you can use a cloud (we use Saturn cloud but can be anything else).
(Rileen Sinha; based on response by Alexey on Slack)",a4fad482,Is the Deep Learning part of the course more resource-intensive than the Machine Learning part?,machine-learning-zoomcamp
